PLMN;countycode;carriername;url;bundlename
314730;US;TextNow;https://www.textnow.com;;
314970;US;Popcorn;https://www.popcorn.space;314970;
334140;MX;Red Compartida;https://www.sct.gob.mx/red-compartida/;;
334160;MX;Televisión Internacional;http://www.cablevision.com.mx;;
334170;MX;OXIO Mobile;https://oxio.com/;;
334230;MX;vinoc;https://vinoc.mx;;
346007;KY;Paradise Mobile;https://paradisemobile.ky;;
425009;IL;We4G;https://we-com.co.il;;
425019;IL;019 Mobile;https://019mobile.com;;
441216;JP;Eureka Wireless;https://eurekawireless.com;;
502150;MY;Tune Talk;https://www.tunetalk.com;;
502153;MY;unifi;https://unifi.com.my;;
724040;BR;Telecall;https://www.telecall.com/;;
20614_GID1-0E;BE;;;
24215_GID1-0E;NO;;;
20803_GID1-0001;FR;Onoff;https://www.onoff.app;;
313460_GID1-7911;US;Popcorn;https://www.popcorn.space;314970;
311500_GID1-6624;US;Mobi;http://mobi.com;Mobi;
52002_GID1-02;TH;;;;
23418_GID1-6764;GB;;;;
302480_GID1-01;CA;SSi Canada;https://www.ssicanada.com/;;
310040_GID1-6624;US;Mobi;http://mobi.com;Mobi;
27201_GID1-0A;IE;An Post;https://www.anpost.com/Mobile;27201_GID1-0A_GID2-FF;
27201_GID1-0A_GID2-FF;IE;An Post;https://www.anpost.com/Mobile;27201_GID1-0A_GID2-FF;
72451_GID1-65;BR;;;;
311588_GID1-2273;US;Cape;https://www.cape.co;311588_GID1-2273/314560_GID1-2273;
311588_GID1-7911;US;Popcorn;https://www.popcorn.space;314970;
313460_GID1-6624;US;Mobi;http://mobi.com;Mobi;
24050_GID1-0E;SE;;;;
302480_GID1-02;CA;;;;
24006_GID1-0E;SE;;;;
26226_GID1-53414C412D44453031;DE;
314560_GID1-2273;US;Cape;https://www.cape.co;311588_GID1-2273/314560_GID1-2273;
72451_GID1-42;BR;;;;
44024_GID1-9424;JP;BlueMobile;bluemobile.blue;;
311588_GID1-6624;US;Mobi;http://mobi.com;Mobi;
27211_GID1-FFFFFF_GID2-FFFFFF;IE;48 Mobile;https://48.ie;;

//manualy tagged using wikipedia, apn urls and random links inside bundles
//i spent way too much time on this, shameless plug uwu https://github.com/cupboardunderscore
