id,link
CrossWireless_Bravado_LTE_US,https://bravadowireless.com/
CrossWireless_LTE_US,https://bravadowireless.com/
Cyta_cy,https://www.cyta.com.cy/
DNA_fi,http://www.dna.fi/iphone
DSTCom_bn,http://www.dst.com.bn/
DataPro,https://eskimo.travel/
DentWireless,https://www.dentwireless.com/esim
Dhiraagu_mv,https://www.dhiraagu.com.mv/
DiGi_my,https://www.celcomdigi.com/
Dialog_lk,http://www.dialog.lk/dlg/index.jsp
Digicel_ag,https://www.digicelgroup.com/ag/en/mobile.html
Digicel_ai,https://www.digicelgroup.com/ai/en/mobile.html
Digicel_aw,https://www.digicelgroup.com/aw/en/mobile.html
Digicel_bb,https://www.digicelgroup.com/bb/en/mobile.html
Digicel_bm,http://www.digicelgroup.com/bm/en/mobile.html
Digicel_cw,https://www.digicelgroup.com/cw/en/mobile.html
Digicel_dm,https://www.digicelgroup.com/dm/en/mobile.html
Digicel_fj,https://www.digicelpacific.com/mobile/fj/en/devices/apple-iphone-13promax.html
Digicel_gd,https://www.digicelgroup.com/gd/en/mobile.html
Digicel_gy,https://www.digicelgroup.com/gy/en/mobile.html
Digicel_ht,https://www.digicelgroup.com/ht/fr/mobile.html
Digicel_jm,http://www.digicelgroup.com/jm/
Digicel_kn,https://www.digicelgroup.com/kn/en/mobile.html
Digicel_ky,http://www.digicelcayman.com/
Digicel_lc,https://www.digicelgroup.com/lc/en/mobile.html
Digicel_mq,https://www.digicelgroup.com/mq/en
Digicel_ms,https://www.digicelgroup.com/ms/en/mobile.html
Digicel_nr,https://www.digicelgroup.com/nr/en/mobile.html
Digicel_pa,https://www.digicelgroup.com/pa/es/movil.html
Digicel_pg,https://www.digicelpacific.com/mobile/pg/en.html
Digicel_sr,https://www.digicelgroup.com/sr/du/mobile.html
Digicel_sv,https://www.digicelgroup.com/sv/es/mobile.html
Digicel_tc,https://www.digicelgroup.com/tc/en/mobile.html
Digicel_to,http://www.digiceltonga.com/
Digicel_tt,http://www.digicelgroup.com/tt/
Digicel_vc,https://www.digicelgroup.com/vc/en/mobile.html
Digicel_vg,https://www.digicelgroup.com/vg/en/mobile.html
Digicel_vu,https://www.digicelgroup.com/vu/en/mobile.html
Digicel_ws,http://www.digicelsamoa.com/
Dish_MVNO_US,https://help.boostmobile.com/
Dish_Ting_US,https://ting.com/
Dish_US,https://help.boostmobile.com/
Djezzy_dz,https://www.djezzy.dz
Docomo_gu,http://www.docomopacific.com/mobile/iphone
Docomo_jp,https://www.nttdocomo.co.jp/iphone/
EMT_ee,https://pood.telia.ee/apple
ENetworks_gy,https://www.enetworks.gy
EPlus_de,https://www.o2online.de/service/sim-karte/esim/
Eastlink_ca,https://www.eastlink.ca/
Econet_zw,https://www.econet.co.zw/
Elisa_ee,https://www.elisa.ee/
EntelPCS_cl,http://www.entel.cl/
Entel_pe,http://www.entel.pe/
Etisalat_ae,https://www.etisalat.ae/
Etisalat_bj,https://www.eand.com/
Etisalat_ci,https://www.moov-africa.ci
Etisalat_eg,http://www.etisalat.eg/etisalat/portal/home
Etisalat_ng,http://9mobile.com.ng/
Etisalat_tz,http://www.zantel.co.tz/
FSMTC_fm,https://www.fsmtc.fm
FamilyMobile_US,https://www.tracfone.com/techsupport
FarEasTone_tw,https://www.fetnet.net/
FaroeseTelecom_fo,https://www.ft.fo/
Fastweb_it,https://www.fastweb.it/adsl-fibra-ottica/cellulari-chiavette-tablet/?show=apple
Fido_ca,http://www.fido.ca/consumer/support
Flexiroam,https://www.flexiroam.com/
Free_fr,https://assistance.free.fr/
Free_mq,https://caraibe.free.fr
Free_re,https://mobile.free.re/
Free_yt,https://only.yt
FreedomMobile_ca,https://www.freedommobile.ca/
GCI_US,http://www.gci.com/
GTA_gu,http://www.gta.net/support
Genesis,https://yesim.app/
GigSky_US,https://www.gigsky.com
Globacom_bj,https://www.gloworld.com
Globacom_gh,http://www.gloworld.com/gh/
Globacom_ng,https://www.gloworld.com/ng
Globe_ph,http://www.globe.com.ph/
GoMobile_mt,https://www.go.com.mt/
Grameenphone_bd,https://www.grameenphone.com/
Holafly,https://esim.holafly.com/
Hutchison_HKBN_hk,https://www.hkbn.net/personal/mobile/en/
Hutchison_Wind_it,http://www.tre.it/
Hutchison_at,https://www.drei.at/
Hutchison_dk,http://www.3.dk/Privat/Kundeservice/
Hutchison_hk,http://iphone.three.com.hk/website/eng/home/index.html
